,Synonyms
0,"['Cleft hard palate, central', 'Cleft of hard palate', 'Unilateral cleft hard palate']"
1,"['Central cleft of soft palate', 'Cleft of soft palate', 'Cleft soft palate, bilateral', 'Complete cleft of soft palate', 'Incomplete cleft of soft palate']"
2,"['Central complete cleft palate', 'Central incomplete cleft palate', 'Cleft hard and soft palate', 'Complete bilateral cleft palate', 'Complete cleft hard and soft palate', 'Complete cleft of soft palate', 'Incomplete cleft hard and soft palate', 'Occult submucous cleft palate', 'Submucous cleft of hard palate', 'Submucous cleft palate', 'Submucous cleft palate', 'Unilateral complete cleft palate']"
3,['Cleft uvula']
4,"['Abruzzo Erickson syndrome', 'Anodontia of primary dentition', 'Bilateral cleft of primary palate', 'Bilateral congenital malformation of ears', 'Bilateral congenital malformation of external ears', 'Bilateral microtia with deafness and cleft palate syndrome', 'Cholestasis', 'Cholestasis with pigmentary retinopathy and cleft palate syndrome', 'Cleft of primary palate', 'Cleft palate', 'Cleft palate lateral synechia syndrome', 'Cleft palate with short stature and vertebral anomaly syndrome', 'Cleft palate with stapes fixation and oligodontia syndrome', 'Cleft palate, large ears, small head syndrome', 'Coloboma of retina', 'Congenital anomaly of left ear', 'Congenital anomaly of macula', 'Congenital anomaly of ossicles of ear', 'Congenital anomaly of right ear', 'Congenital coloboma of macula lutea', 'Congenital fusion of ossicles of ear', 'Congenital hallux valgus', 'Congenital omphalocele', 'Congenital retrognathism', 'Facial dysmorphism, cleft palate, loose skin syndrome', 'Genitopalatocardiac syndrome', 'Hallux valgus', 'Incomplete bilateral cleft palate', 'Lethal omphalocele with cleft palate syndrome', 'Macrosomia, microphthalmia, cleft palate syndrome', 'Macrotia', 'Macular coloboma, cleft palate, hallux valgus syndrome', 'Microcephalus cleft palate syndrome', 'Microtia', 'Poikiloderma, alopecia, retrognathism, cleft palate syndrome', 'Pure gonadal dysgenesis', 'Pure gonadal dysgenesis 46,XY', 'Reardon Hall Slaney syndrome', 'Retinal pigment deposits', 'Spondyloepiphyseal dysplasia, craniosynostosis, cleft palate, cataract and intellectual disability syndrome', 'Submucous cleft palate', 'Tongue tie', 'Velopharyngeal inadequacy', 'Velopharyngeal incompetence', 'Velopharyngeal incompetence due to cleft palate', 'X-linked cleft palate and ankyloglossia']"
5,"['Bilateral cleft lip', 'Bilateral complete and incomplete cleft lip', 'Bilateral complete cleft lip and bilateral complete cleft of alveolus', 'Complete bilateral cleft lip', 'Complete left cleft lip', 'Complete left cleft lip', 'Complete left cleft lip and complete left cleft of alveolus', 'Complete right cleft lip', 'Complete right cleft lip', 'Complete right cleft lip and complete right cleft of alveolus', 'Incomplete bilateral cleft lip', 'Incomplete left cleft lip', 'Incomplete right cleft lip']"
6,"['Central cleft lip', 'Familial median cleft of upper and lower lip', 'Frontonasal dysplasia sequence', 'Median cleft lip and alveolus', 'Midline cleft of lower lip', 'Pai syndrome']"
7,"['Auricular abnormality, cleft lip, ocular abnormality syndrome', 'Cleft lip', 'Cleft lip and alveolus', 'Cleft lip retinopathy syndrome', 'Cleft lip sequence', 'Complete left cleft lip', 'Complete left cleft lip and complete left cleft of alveolus', 'Complete right cleft lip', 'Complete right cleft lip and complete right cleft of alveolus', 'Incomplete left cleft lip', 'Incomplete left cleft lip and incomplete left cleft of alveolus', 'Incomplete right cleft lip', 'Incomplete right cleft lip and incomplete right cleft of alveolus', 'Left cleft lip', 'Microbrachycephaly, ptosis, cleft lip syndrome', 'Right cleft lip', 'Verloove Vanhorick Brubakk syndrome']"
8,"['Cleft hard palate with bilateral cleft lip and alveolus', 'Cleft hard palate with cleft lip, bilateral', 'Cleft hard palate with left cleft lip', 'Cleft hard palate with left cleft lip', 'Cleft hard palate with left cleft lip and alveolus', 'Cleft hard palate with right cleft lip', 'Cleft hard palate with right cleft lip', 'Cleft hard palate with right cleft lip and alveolus', 'Cleft hard palate, bilateral', 'Cleft palate and bilateral cleft lip', 'Cleft palate and bilateral cleft lip', 'Cleft palate with bilateral cleft lip and alveolus']"
9,"['Cleft hard palate with left cleft lip', 'Cleft hard palate with left cleft lip and alveolus', 'Cleft hard palate with right cleft lip', 'Cleft hard palate with right cleft lip and alveolus', 'Cleft of hard palate and cleft lip']"
10,"['Cleft of soft palate and bilateral cleft lip', 'Cleft palate and bilateral cleft lip', 'Cleft palate with bilateral cleft lip and alveolus', 'Cleft soft palate with bilateral cleft lip and alveolus', 'Cleft soft palate with left cleft lip', 'Cleft soft palate with left cleft lip and alveolus', 'Cleft soft palate with right cleft lip', 'Cleft soft palate with right cleft lip and alveolus']"
11,"['Cleft of soft palate and cleft lip', 'Cleft soft palate with left cleft lip', 'Cleft soft palate with left cleft lip and alveolus', 'Cleft soft palate with right cleft lip', 'Cleft soft palate with right cleft lip and alveolus']"
12,"['Bilateral complete cleft palate with cleft lip', 'Cleft hard and soft palate with bilateral cleft lip and alveolus', 'Cleft hard and soft palate with left cleft lip', 'Cleft hard and soft palate with left cleft lip and alveolus', 'Cleft hard and soft palate with right cleft lip and alveolus', 'Cleft hard palate with bilateral cleft lip and alveolus', 'Cleft hard palate with left cleft lip', 'Cleft hard palate with left cleft lip and alveolus', 'Cleft hard palate with right cleft lip', 'Cleft hard palate with right cleft lip and alveolus', 'Cleft of soft palate and bilateral cleft lip', 'Cleft palate and bilateral cleft lip', 'Cleft palate with bilateral cleft lip and alveolus', 'Cleft soft palate with bilateral cleft lip and alveolus', 'Cleft soft palate with left cleft lip', 'Cleft soft palate with left cleft lip and alveolus', 'Cleft soft palate with right cleft lip', 'Cleft soft palate with right cleft lip and alveolus', 'Complete bilateral cleft palate', 'Uranostaphyloschisis with cleft lip', 'Uranostaphyloschisis with cleft lip']"
13,"['Cleft hard and soft palate with left cleft lip', 'Cleft hard and soft palate with left cleft lip and alveolus', 'Cleft hard and soft palate with right cleft lip', 'Cleft hard and soft palate with right cleft lip and alveolus', 'Cleft hard palate with left cleft lip', 'Cleft hard palate with left cleft lip and alveolus', 'Cleft hard palate with right cleft lip', 'Cleft hard palate with right cleft lip', 'Cleft hard palate with right cleft lip and alveolus', 'Cleft soft palate with left cleft lip', 'Cleft soft palate with left cleft lip and alveolus', 'Cleft soft palate with right cleft lip', 'Cleft soft palate with right cleft lip', 'Cleft soft palate with right cleft lip and alveolus', 'Uranostaphyloschisis with cleft lip']"
