,category,condition
0,R10.0,Acute abdomen
1,R10.10,"Upper abdominal pain, unspecified"
2,R10.11,Right upper quadrant pain
3,R10.12,Left upper quadrant pain
4,R10.13,Epigastric pain
5,R10.2,Pelvic and perineal pain
6,R10.30,"Lower abdominal pain, unspecified"
7,R10.31,Right lower quadrant pain
8,R10.32,Left lower quadrant pain
9,R10.33,Periumbilical pain
10,R10.811,Right upper quadrant abdominal tenderness
11,R10.812,Left upper quadrant abdominal tenderness
12,R10.813,Right lower quadrant abdominal tenderness
13,R10.814,Left lower quadrant abdominal tenderness
14,R10.815,Periumbilic abdominal tenderness
15,R10.816,Epigastric abdominal tenderness
16,R10.817,Generalized abdominal tenderness
17,R10.819,"Abdominal tenderness, unspecified site"
18,R10.821,Right upper quadrant rebound abdominal tenderness
19,R10.822,Left upper quadrant rebound abdominal tenderness
20,R10.823,Right lower quadrant rebound abdominal tenderness
21,R10.824,Left lower quadrant rebound abdominal tenderness
22,R10.825,Periumbilic rebound abdominal tenderness
23,R10.826,Epigastric rebound abdominal tenderness
24,R10.827,Generalized rebound abdominal tenderness
25,R10.829,"Rebound abdominal tenderness, unspecified site"
26,R10.83,Colic
27,R10.84,Generalized abdominal pain
28,R10.9,Unspecified abdominal pain
29,R11.0,Nausea
30,R11.10,"Vomiting, unspecified"
31,R11.11,Vomiting without nausea
32,R11.12,Projectile vomiting
33,R11.13,Vomiting of fecal matter
34,R11.14,Bilious vomiting
35,R11.15,Cyclical vomiting syndrome unrelated to migraine  NEW CODE
36,R11.2,"Nausea with vomiting, unspecified"
37,Heartburn (R12),R12  Heartburn
38,R12,Heartburn
39,R13.0,Aphagia
40,R13.10,"Dysphagia, unspecified"
41,R13.11,"Dysphagia, oral phase"
42,R13.12,"Dysphagia, oropharyngeal phase"
43,R13.13,"Dysphagia, pharyngeal phase"
44,R13.14,"Dysphagia, pharyngoesophageal phase"
45,R13.19,Other dysphagia
46,R14.0,Abdominal distension (gaseous)
47,R14.1,Gas pain
48,R14.2,Eructation
49,R14.3,Flatulence
50,R15.0,Incomplete defecation
51,R15.1,Fecal smearing
52,R15.2,Fecal urgency
53,R15.9,Full incontinence of feces
54,R16.0,"Hepatomegaly, not elsewhere classified"
55,R16.1,"Splenomegaly, not elsewhere classified"
56,R16.2,"Hepatomegaly with splenomegaly, not elsewhere classified"
57,Unspecified jaundice (R17),R17  Unspecified jaundice
58,R17,Unspecified jaundice
59,R18.0,Malignant ascites
60,R18.8,Other ascites
61,R19.00,"Intraabd and pelvic swelling, mass and lump, unsp site"
62,R19.01,"Right upper quadrant abdominal swelling, mass and lump"
63,R19.02,"Left upper quadrant abdominal swelling, mass and lump"
64,R19.03,"Right lower quadrant abdominal swelling, mass and lump"
65,R19.04,"Left lower quadrant abdominal swelling, mass and lump"
66,R19.05,"Periumbilic swelling, mass or lump"
67,R19.06,"Epigastric swelling, mass or lump"
68,R19.07,"Generalized intraabd and pelvic swelling, mass and lump"
69,R19.09,"Other intraabdominal and pelvic swelling, mass and lump"
70,R19.11,Absent bowel sounds
71,R19.12,Hyperactive bowel sounds
72,R19.15,Other abnormal bowel sounds
73,R19.2,Visible peristalsis
74,R19.30,"Abdominal rigidity, unspecified site"
75,R19.31,Right upper quadrant abdominal rigidity
76,R19.32,Left upper quadrant abdominal rigidity
77,R19.33,Right lower quadrant abdominal rigidity
78,R19.34,Left lower quadrant abdominal rigidity
79,R19.35,Periumbilic abdominal rigidity
80,R19.36,Epigastric abdominal rigidity
81,R19.37,Generalized abdominal rigidity
82,R19.4,Change in bowel habit
83,R19.5,Other fecal abnormalities
84,R19.6,Halitosis
85,R19.7,"Diarrhea, unspecified"
86,R19.8,Oth symptoms and signs involving the dgstv sys and abdomen
