,Synonyms
0,"['Benign cutaneous periarteritis nodosa', 'Cutaneous leukocytoclastic angiitis', 'Cutaneous polyarteritis nodosa', 'Hypersensitivity angiitis', 'Myopathy due to polyarteritis nodosa', 'Nephrotic syndrome in polyarteritis nodosa', 'Periarteritis', 'Polyarteritis nodosa', 'Polyarteritis nodosa with multi-organ involvement', 'Polyarteritis nodosa with single organ involvement', 'Polyneuropathy in collagen vascular disease', 'Polyneuropathy in polyarteritis nodosa', 'Retinal vasculitis due to polyarteritis nodosa', 'Single organ vasculitis']"
1,"['Autoimmune vasculitis', 'Eosinophilic granulomatosis with polyangiitis', 'Hypersensitivity angiitis', 'Lung disorder due to autoimmune disorder', 'Primary necrotizing systemic vasculitis', 'Primary necrotizing vasculitis with granulomata', 'Pulmonary disease due to allergic granulomatosis angiitis']"
2,"['Juvenile polyarteritis', 'Myopathy due to polyarteritis nodosa', 'Nephrotic syndrome in polyarteritis nodosa', 'Polyarteritis nodosa', 'Polyarteritis nodosa with multi-organ involvement', 'Polyarteritis nodosa with single organ involvement', 'Polyneuropathy in collagen vascular disease', 'Polyneuropathy in polyarteritis nodosa']"
3,"['Acute febrile mucocutaneous lymph node syndrome', 'Aneurysm of coronary artery due to and following acute febrile mucocutaneous lymph node syndrome', 'Aneurysm of coronary vessels']"
4,"['Polyangiitis overlap syndrome', 'Primary necrotizing systemic vasculitis']"
5,"[""Goodpasture's disease"", ""Goodpasture's syndrome"", 'Hemorrhage of kidney', 'Hypersensitivity angiitis', 'Hypersensitivity reaction mediated by immune complex', 'Infantile acute hemorrhagic edema', 'Normocomplementemic urticarial vasculitis', 'Pulmonary renal syndrome', 'Small vessel vasculitis caused by immune complex', 'Urticarial vasculitis']"
6,"['Acquired thrombotic thrombocytopenic purpura', 'Acquired thrombotic thrombocytopenic purpura', 'Autoimmune thrombotic thrombocytopenic purpura', 'Capillary thrombosis', 'Capillary thrombosis', 'Drug induced thrombotic thrombocytopenic purpura', 'Purpura', 'Purpura', 'Thrombotic microangiopathy', 'Thrombotic microangiopathy', 'Thrombotic thrombocytopenic purpura', 'Thrombotic thrombocytopenic purpura', 'Upshaw-Schulman syndrome']"
7,"['Extranodal NK/T-cell lymphoma, nasal type', 'Lethal midline granuloma']"
8,"['Bronchocentric granulomatosis', 'Glomerulonephritis co-occurrent and due to antineutrophil cytoplasmic antibody positive vasculitis', 'Granulomatosis with polyangiitis', 'Granulomatosis with polyangiitis of gingiva', 'Granulomatosis with polyangiitis of larynx', 'Granulomatosis with polyangiitis of nose', 'Granulomatosis with polyangiitis with multisystem involvement', 'Limited granulomatosis with polyangiitis', 'Necrotizing sarcoid granulomatosis', 'Pulmonary sarcoidosis', 'Scleritis due to granulomatosis with polyangiitis']"
9,"['Glomerulonephritis co-occurrent and due to antineutrophil cytoplasmic antibody positive vasculitis', 'Glomerulonephritis due to granulomatosis with polyangiitis', 'Granulomatosis with polyangiitis']"
10,"['Aortitis', ""Takayasu's disease""]"
11,"['Giant cell arteritis', 'Giant cell arteritis with polymyalgia rheumatica', 'Polymyalgia rheumatica']"
12,"['Cerebral arteritis', 'Cerebral arteritis in giant cell arteritis', 'Giant cell arteritis', 'Giant cell arteritis', 'Giant cell arteritis without polymyalgia rheumatica', 'Temporal arteritis', 'Temporal arteritis']"
13,"['Microscopic polyarteritis nodosa', 'Microscopic polyarteritis nodosa with multi-organ involvement', 'Microscopic polyarteritis nodosa with single organ involvement', 'Polyarteritis nodosa', 'Primary necrotizing systemic vasculitis', 'Respiratory disorder co-occurrent and due to microscopic polyangiitis']"
14,"['Demyelination due to systemic vasculitis', 'Drug-induced necrotizing vasculitis', 'Hypocomplementemic urticarial vasculitis', 'Interstitial lung disease with systemic vasculitis', 'Necrotizing rheumatoid vasculitis', 'Necrotizing vasculitis of undetermined etiology', 'Necrotizing vasculitis secondary to connective tissue disease', 'Necrotizing vasculitis secondary to infection', 'Primary cutaneous vasculitis', 'Primary necrotizing systemic vasculitis', 'Small vessel vasculitis caused by immune complex']"
15,"['Cryoglobulinemic vasculitis', 'Cutaneous complication of systemic sclerosis', 'Lupus erythematosus-associated necrotizing vasculitis', 'Lupus vasculitis', 'Necrotizing arteritis', 'Necrotizing vasculitis', 'Necrotizing vasculitis due to mixed cryoglobulinemia', 'Necrotizing vasculitis secondary to connective tissue disease', 'Necrotizing vasculitis secondary to connective tissue disease', 'Scleroderma-associated necrotizing vasculitis', 'Small vessel vasculitis caused by immune complex']"
16,"['Drug-induced lupus erythematosus', 'Drug-induced lupus erythematosus due to diphenylhydantoin', 'Drug-induced lupus erythematosus due to hydralazine', 'Drug-induced lupus erythematosus due to procainamide', 'Drug-induced systemic lupus erythematosus']"
17,"['Connective tissue disease overlap syndrome', 'Fulminating systemic lupus erythematosus', 'Lupus erythematosus overlap syndrome', 'Mixed collagen vascular disease', 'Overlap syndrome', 'Systemic lupus erythematosus with multisystem involvement', 'Systemic lupus erythematosus with organ/system involvement', 'Systemic lupus erythematosus-related syndrome']"
18,"['Endocarditis associated with another disorder', 'Endocarditis due to systemic lupus erythematosus', 'Nonbacterial verrucal endocardiosis']"
19,"['Pericarditis secondary to systemic lupus erythematosus', 'Systemic lupus erythematosus with pericarditis']"
20,"['Lung disease due to connective tissue disorder', 'Lung disease with systemic lupus erythematosus', 'Lung disorder due to autoimmune disorder', 'Lupus disease of the lung', 'Lupus pneumonia', 'Shrinking lung syndrome']"
21,"['Focal AND segmental proliferative glomerulonephritis', 'Glomerular disease due to systemic lupus erythematosus', 'Mesangial proliferative glomerulonephritis', 'Nephropathy co-occurrent and due to systemic lupus erythematosus', 'Nephrosis co-occurrent and due to systemic lupus erythematosus', 'Nephrotic syndrome associated with another disorder', 'Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus', 'Sclerosing glomerulonephritis', 'SLE glomerulonephritis syndrome', 'SLE glomerulonephritis syndrome, WHO class I', 'SLE glomerulonephritis syndrome, WHO class II', 'SLE glomerulonephritis syndrome, WHO class III', 'SLE glomerulonephritis syndrome, WHO class IV', 'SLE glomerulonephritis syndrome, WHO class V', 'SLE glomerulonephritis syndrome, WHO class VI']"
