,category,condition
0,M65.00,"Abscess of tendon sheath, unspecified site"
1,M65.011,"Abscess of tendon sheath, right shoulder"
2,M65.012,"Abscess of tendon sheath, left shoulder"
3,M65.019,"Abscess of tendon sheath, unspecified shoulder"
4,M65.021,"Abscess of tendon sheath, right upper arm"
5,M65.022,"Abscess of tendon sheath, left upper arm"
6,M65.029,"Abscess of tendon sheath, unspecified upper arm"
7,M65.031,"Abscess of tendon sheath, right forearm"
8,M65.032,"Abscess of tendon sheath, left forearm"
9,M65.039,"Abscess of tendon sheath, unspecified forearm"
10,M65.041,"Abscess of tendon sheath, right hand"
11,M65.042,"Abscess of tendon sheath, left hand"
12,M65.049,"Abscess of tendon sheath, unspecified hand"
13,M65.051,"Abscess of tendon sheath, right thigh"
14,M65.052,"Abscess of tendon sheath, left thigh"
15,M65.059,"Abscess of tendon sheath, unspecified thigh"
16,M65.061,"Abscess of tendon sheath, right lower leg"
17,M65.062,"Abscess of tendon sheath, left lower leg"
18,M65.069,"Abscess of tendon sheath, unspecified lower leg"
19,M65.071,"Abscess of tendon sheath, right ankle and foot"
20,M65.072,"Abscess of tendon sheath, left ankle and foot"
21,M65.079,"Abscess of tendon sheath, unspecified ankle and foot"
22,M65.08,"Abscess of tendon sheath, other site"
23,M65.10,"Other infective (teno)synovitis, unspecified site"
24,M65.111,"Other infective (teno)synovitis, right shoulder"
25,M65.112,"Other infective (teno)synovitis, left shoulder"
26,M65.119,"Other infective (teno)synovitis, unspecified shoulder"
27,M65.121,"Other infective (teno)synovitis, right elbow"
28,M65.122,"Other infective (teno)synovitis, left elbow"
29,M65.129,"Other infective (teno)synovitis, unspecified elbow"
30,M65.131,"Other infective (teno)synovitis, right wrist"
31,M65.132,"Other infective (teno)synovitis, left wrist"
32,M65.139,"Other infective (teno)synovitis, unspecified wrist"
33,M65.141,"Other infective (teno)synovitis, right hand"
34,M65.142,"Other infective (teno)synovitis, left hand"
35,M65.149,"Other infective (teno)synovitis, unspecified hand"
36,M65.151,"Other infective (teno)synovitis, right hip"
37,M65.152,"Other infective (teno)synovitis, left hip"
38,M65.159,"Other infective (teno)synovitis, unspecified hip"
39,M65.161,"Other infective (teno)synovitis, right knee"
40,M65.162,"Other infective (teno)synovitis, left knee"
41,M65.169,"Other infective (teno)synovitis, unspecified knee"
42,M65.171,"Other infective (teno)synovitis, right ankle and foot"
43,M65.172,"Other infective (teno)synovitis, left ankle and foot"
44,M65.179,"Other infective (teno)synovitis, unspecified ankle and foot"
45,M65.18,"Other infective (teno)synovitis, other site"
46,M65.19,"Other infective (teno)synovitis, multiple sites"
47,M65.20,"Calcific tendinitis, unspecified site"
48,M65.221,"Calcific tendinitis, right upper arm"
49,M65.222,"Calcific tendinitis, left upper arm"
50,M65.229,"Calcific tendinitis, unspecified upper arm"
51,M65.231,"Calcific tendinitis, right forearm"
52,M65.232,"Calcific tendinitis, left forearm"
53,M65.239,"Calcific tendinitis, unspecified forearm"
54,M65.241,"Calcific tendinitis, right hand"
55,M65.242,"Calcific tendinitis, left hand"
56,M65.249,"Calcific tendinitis, unspecified hand"
57,M65.251,"Calcific tendinitis, right thigh"
58,M65.252,"Calcific tendinitis, left thigh"
59,M65.259,"Calcific tendinitis, unspecified thigh"
60,M65.261,"Calcific tendinitis, right lower leg"
61,M65.262,"Calcific tendinitis, left lower leg"
62,M65.269,"Calcific tendinitis, unspecified lower leg"
63,M65.271,"Calcific tendinitis, right ankle and foot"
64,M65.272,"Calcific tendinitis, left ankle and foot"
65,M65.279,"Calcific tendinitis, unspecified ankle and foot"
66,M65.28,"Calcific tendinitis, other site"
67,M65.29,"Calcific tendinitis, multiple sites"
68,M65.30,"Trigger finger, unspecified finger"
69,M65.311,"Trigger thumb, right thumb"
70,M65.312,"Trigger thumb, left thumb"
71,M65.319,"Trigger thumb, unspecified thumb"
72,M65.321,"Trigger finger, right index finger"
73,M65.322,"Trigger finger, left index finger"
74,M65.329,"Trigger finger, unspecified index finger"
75,M65.331,"Trigger finger, right middle finger"
76,M65.332,"Trigger finger, left middle finger"
77,M65.339,"Trigger finger, unspecified middle finger"
78,M65.341,"Trigger finger, right ring finger"
79,M65.342,"Trigger finger, left ring finger"
80,M65.349,"Trigger finger, unspecified ring finger"
81,M65.351,"Trigger finger, right little finger"
82,M65.352,"Trigger finger, left little finger"
83,M65.359,"Trigger finger, unspecified little finger"
84,M65.4,Radial styloid tenosynovitis [de Quervain]
85,M65.80,"Other synovitis and tenosynovitis, unspecified site"
86,M65.811,"Other synovitis and tenosynovitis, right shoulder"
87,M65.812,"Other synovitis and tenosynovitis, left shoulder"
88,M65.819,"Other synovitis and tenosynovitis, unspecified shoulder"
89,M65.821,"Other synovitis and tenosynovitis, right upper arm"
90,M65.822,"Other synovitis and tenosynovitis, left upper arm"
91,M65.829,"Other synovitis and tenosynovitis, unspecified upper arm"
92,M65.831,"Other synovitis and tenosynovitis, right forearm"
93,M65.832,"Other synovitis and tenosynovitis, left forearm"
94,M65.839,"Other synovitis and tenosynovitis, unspecified forearm"
95,M65.841,"Other synovitis and tenosynovitis, right hand"
96,M65.842,"Other synovitis and tenosynovitis, left hand"
97,M65.849,"Other synovitis and tenosynovitis, unspecified hand"
98,M65.851,"Other synovitis and tenosynovitis, right thigh"
99,M65.852,"Other synovitis and tenosynovitis, left thigh"
100,M65.859,"Other synovitis and tenosynovitis, unspecified thigh"
101,M65.861,"Other synovitis and tenosynovitis, right lower leg"
102,M65.862,"Other synovitis and tenosynovitis, left lower leg"
103,M65.869,"Other synovitis and tenosynovitis, unspecified lower leg"
104,M65.871,"Other synovitis and tenosynovitis, right ankle and foot"
105,M65.872,"Other synovitis and tenosynovitis, left ankle and foot"
106,M65.879,"Other synovitis and tenosynovitis, unsp ankle and foot"
107,M65.88,"Other synovitis and tenosynovitis, other site"
108,M65.89,"Other synovitis and tenosynovitis, multiple sites"
109,M65.9,"Synovitis and tenosynovitis, unspecified"
110,M66.0,Rupture of popliteal cyst
111,M66.10,"Rupture of synovium, unspecified joint"
112,M66.111,"Rupture of synovium, right shoulder"
113,M66.112,"Rupture of synovium, left shoulder"
114,M66.119,"Rupture of synovium, unspecified shoulder"
115,M66.121,"Rupture of synovium, right elbow"
116,M66.122,"Rupture of synovium, left elbow"
117,M66.129,"Rupture of synovium, unspecified elbow"
118,M66.131,"Rupture of synovium, right wrist"
119,M66.132,"Rupture of synovium, left wrist"
120,M66.139,"Rupture of synovium, unspecified wrist"
121,M66.141,"Rupture of synovium, right hand"
122,M66.142,"Rupture of synovium, left hand"
123,M66.143,"Rupture of synovium, unspecified hand"
124,M66.144,"Rupture of synovium, right finger(s)"
125,M66.145,"Rupture of synovium, left finger(s)"
126,M66.146,"Rupture of synovium, unspecified finger(s)"
127,M66.151,"Rupture of synovium, right hip"
128,M66.152,"Rupture of synovium, left hip"
129,M66.159,"Rupture of synovium, unspecified hip"
130,M66.171,"Rupture of synovium, right ankle"
131,M66.172,"Rupture of synovium, left ankle"
132,M66.173,"Rupture of synovium, unspecified ankle"
133,M66.174,"Rupture of synovium, right foot"
134,M66.175,"Rupture of synovium, left foot"
135,M66.176,"Rupture of synovium, unspecified foot"
136,M66.177,"Rupture of synovium, right toe(s)"
137,M66.178,"Rupture of synovium, left toe(s)"
138,M66.179,"Rupture of synovium, unspecified toe(s)"
139,M66.18,"Rupture of synovium, other site"
140,M66.20,"Spontaneous rupture of extensor tendons, unspecified site"
141,M66.211,"Spontaneous rupture of extensor tendons, right shoulder"
142,M66.212,"Spontaneous rupture of extensor tendons, left shoulder"
143,M66.219,"Spontaneous rupture of extensor tendons, unsp shoulder"
144,M66.221,"Spontaneous rupture of extensor tendons, right upper arm"
