,category,condition
4,L80,Vitiligo
5,L81.0,Postinflammatory hyperpigmentation
6,L81.1,Chloasma
7,L81.2,Freckles
8,L81.3,Cafe au lait spots
9,L81.4,Other melanin hyperpigmentation
10,L81.5,"Leukoderma, not elsewhere classified"
11,L81.6,Other disorders of diminished melanin formation
12,L81.7,Pigmented purpuric dermatosis
13,L81.8,Other specified disorders of pigmentation
14,L81.9,"Disorder of pigmentation, unspecified"
15,L82.0,Inflamed seborrheic keratosis
16,L82.1,Other seborrheic keratosis
17,Acanthosis nigricans (L83),L83  Acanthosis nigricans
18,L83,Acanthosis nigricans
19,Corns and callosities (L84),L84  Corns and callosities
20,L84,Corns and callosities
21,L85.0,Acquired ichthyosis
22,L85.1,Acquired keratosis [keratoderma] palmaris et plantaris
23,L85.2,Keratosis punctata (palmaris et plantaris)
24,L85.3,Xerosis cutis
25,L85.8,Other specified epidermal thickening
26,L85.9,"Epidermal thickening, unspecified"
27,Keratoderma in diseases classified elsewhere (L86),L86  Keratoderma in diseases classified elsewhere
28,L86,Keratoderma in diseases classified elsewhere
29,L87.0,Keratos follicularis et parafollicularis in cutem penetrans
30,L87.1,Reactive perforating collagenosis
31,L87.2,Elastosis perforans serpiginosa
32,L87.8,Other transepidermal elimination disorders
33,L87.9,"Transepidermal elimination disorder, unspecified"
34,Pyoderma gangrenosum (L88),L88  Pyoderma gangrenosum
35,L88,Pyoderma gangrenosum
36,L89.000,"Pressure ulcer of unspecified elbow, unstageable"
37,L89.001,"Pressure ulcer of unspecified elbow, stage 1"
38,L89.002,"Pressure ulcer of unspecified elbow, stage 2"
39,L89.003,"Pressure ulcer of unspecified elbow, stage 3"
40,L89.004,"Pressure ulcer of unspecified elbow, stage 4"
41,L89.006,Pressureinduced deep tissue damage of unspecified elbow  NEW CODE
42,L89.009,"Pressure ulcer of unspecified elbow, unspecified stage"
43,L89.010,"Pressure ulcer of right elbow, unstageable"
44,L89.011,"Pressure ulcer of right elbow, stage 1"
45,L89.012,"Pressure ulcer of right elbow, stage 2"
46,L89.013,"Pressure ulcer of right elbow, stage 3"
