,category,condition
0,O10.011,"Preexisting essential htn comp pregnancy, first trimester"
1,O10.012,"Preexisting essential htn comp pregnancy, second trimester"
2,O10.013,"Preexisting essential htn comp pregnancy, third trimester"
3,O10.019,"Preexisting essential htn comp pregnancy, unsp trimester"
4,O10.02,Preexisting essential hypertension complicating childbirth
5,O10.03,Preexisting essential hypertension comp the puerperium
6,O10.111,"Preexist hyp heart disease comp pregnancy, first trimester"
7,O10.112,"Preexist hyp heart disease comp pregnancy, second trimester"
8,O10.113,"Preexist hyp heart disease comp pregnancy, third trimester"
9,O10.119,"Preexist hyp heart disease comp pregnancy, unsp trimester"
10,O10.12,Preexisting hypertensive heart disease comp childbirth
11,O10.13,Preexisting hypertensive heart disease comp the puerperium
12,O10.211,"Preexist hyp chronic kidney disease comp preg, first tri"
13,O10.212,"Preexist hyp chronic kidney disease comp preg, second tri"
14,O10.213,"Preexist hyp chronic kidney disease comp preg, third tri"
15,O10.219,"Preexist hyp chronic kidney disease comp preg, unsp tri"
16,O10.22,Preexisting hyp chronic kidney disease comp childbirth
17,O10.23,Preexisting hyp chronic kidney disease comp the puerperium
18,O10.311,"Preexist hyp heart and chr kidney dis comp preg, first tri"
19,O10.312,"Preexist hyp heart and chr kidney dis comp preg, second tri"
20,O10.313,"Preexist hyp heart and chr kidney dis comp preg, third tri"
21,O10.319,"Preexist hyp heart and chr kidney dis comp preg, unsp tri"
22,O10.32,Preexist hyp heart and chronic kidney disease comp chldbrth
23,O10.33,Preexist hyp heart and chr kidney disease comp the puerp
24,O10.411,"Preexisting secondary htn comp pregnancy, first trimester"
25,O10.412,"Preexisting secondary htn comp pregnancy, second trimester"
26,O10.413,"Preexisting secondary htn comp pregnancy, third trimester"
27,O10.419,"Preexisting secondary htn comp pregnancy, unsp trimester"
28,O10.42,Preexisting secondary hypertension complicating childbirth
29,O10.43,Preexisting secondary hypertension comp the puerperium
30,O10.911,"Unsp preexisting htn comp pregnancy, first trimester"
31,O10.912,"Unsp preexisting htn comp pregnancy, second trimester"
32,O10.913,"Unsp preexisting htn comp pregnancy, third trimester"
33,O10.919,"Unsp preexisting htn comp pregnancy, unsp trimester"
34,O10.92,Unsp preexisting hypertension complicating childbirth
35,O10.93,Unsp preexisting hypertension complicating the puerperium
36,O11.1,"Preexisting hypertension w preeclampsia, first trimester"
37,O11.2,"Preexisting hypertension w preeclampsia, second trimester"
38,O11.3,"Preexisting hypertension w preeclampsia, third trimester"
39,O11.4,"Preexisting htn with preeclampsia, comp childbirth"
40,O11.5,"Preexisting htn with preeclampsia, comp the puerperium"
41,O11.9,"Preexisting hypertension with preeclampsia, unsp trimester"
42,O12.00,"Gestational edema, unspecified trimester"
43,O12.01,"Gestational edema, first trimester"
44,O12.02,"Gestational edema, second trimester"
45,O12.03,"Gestational edema, third trimester"
46,O12.04,"Gestational edema, complicating childbirth"
47,O12.05,"Gestational edema, complicating the puerperium"
48,O12.10,"Gestational proteinuria, unspecified trimester"
49,O12.11,"Gestational proteinuria, first trimester"
50,O12.12,"Gestational proteinuria, second trimester"
51,O12.13,"Gestational proteinuria, third trimester"
52,O12.14,"Gestational proteinuria, complicating childbirth"
53,O12.15,"Gestational proteinuria, complicating the puerperium"
54,O12.20,"Gestational edema with proteinuria, unspecified trimester"
55,O12.21,"Gestational edema with proteinuria, first trimester"
56,O12.22,"Gestational edema with proteinuria, second trimester"
57,O12.23,"Gestational edema with proteinuria, third trimester"
58,O12.24,"Gestational edema with proteinuria, complicating childbirth"
59,O12.25,"Gestational edema with proteinuria, comp the puerperium"
60,O13.1,"Gestational htn w/o significant proteinuria, first trimester"
61,O13.2,"Gestatnl htn w/o significant proteinuria, second trimester"
62,O13.3,"Gestational htn w/o significant proteinuria, third trimester"
63,O13.4,"Gestatnl htn without significant protein, comp childbirth"
64,O13.5,"Gestatnl htn without significant protein, comp the puerp"
65,O13.9,"Gestational htn w/o significant proteinuria, unsp trimester"
66,O14.00,"Mild to moderate preeclampsia, unspecified trimester"
67,O14.02,"Mild to moderate preeclampsia, second trimester"
68,O14.03,"Mild to moderate preeclampsia, third trimester"
69,O14.04,"Mild to moderate preeclampsia, complicating childbirth"
70,O14.05,"Mild to moderate preeclampsia, complicating the puerperium"
71,O14.10,"Severe preeclampsia, unspecified trimester"
72,O14.12,"Severe preeclampsia, second trimester"
73,O14.13,"Severe preeclampsia, third trimester"
74,O14.14,Severe preeclampsia complicating childbirth
75,O14.15,"Severe preeclampsia, complicating the puerperium"
76,O14.20,"HELLP syndrome (HELLP), unspecified trimester"
77,O14.22,"HELLP syndrome (HELLP), second trimester"
78,O14.23,"HELLP syndrome (HELLP), third trimester"
79,O14.24,"HELLP syndrome, complicating childbirth"
80,O14.25,"HELLP syndrome, complicating the puerperium"
81,O14.90,"Unspecified preeclampsia, unspecified trimester"
82,O14.92,"Unspecified preeclampsia, second trimester"
83,O14.93,"Unspecified preeclampsia, third trimester"
84,O14.94,"Unspecified preeclampsia, complicating childbirth"
85,O14.95,"Unspecified preeclampsia, complicating the puerperium"
86,O15.00,"Eclampsia complicating pregnancy, unspecified trimester"
87,O15.02,"Eclampsia complicating pregnancy, second trimester"
88,O15.03,"Eclampsia complicating pregnancy, third trimester"
89,O15.1,Eclampsia complicating labor
90,O15.2,Eclampsia complicating the puerperium
91,O15.9,"Eclampsia, unspecified as to time period"
92,O16.1,"Unspecified maternal hypertension, first trimester"
