,category,condition
0,P80.0,Cold injury syndrome
1,P80.8,Other hypothermia of newborn
2,P80.9,"Hypothermia of newborn, unspecified"
3,P81.0,Environmental hyperthermia of newborn
4,P81.8,Oth disturbances of temperature regulation of newborn
5,P81.9,"Disturbance of temperature regulation of newborn, unsp"
6,P83.0,Sclerema neonatorum
7,P83.1,Neonatal erythema toxicum
8,P83.2,Hydrops fetalis not due to hemolytic disease
9,P83.30,Unspecified edema specific to newborn
10,P83.39,Other edema specific to newborn
11,P83.4,Breast engorgement of newborn
12,P83.5,Congenital hydrocele
13,P83.6,Umbilical polyp of newborn
14,P83.81,Umbilical granuloma
15,P83.88,Other specified conditions of integument specific to newborn
16,P83.9,"Condition of the integument specific to newborn, unspecified"
