,category,condition
0,B90.0,Sequelae of central nervous system tuberculosis
1,B90.1,Sequelae of genitourinary tuberculosis
2,B90.2,Sequelae of tuberculosis of bones and joints
3,B90.8,Sequelae of tuberculosis of other organs
4,B90.9,Sequelae of respiratory and unspecified tuberculosis
5,Sequelae of poliomyelitis (B91),B91  Sequelae of poliomyelitis
6,B91,Sequelae of poliomyelitis
7,Sequelae of leprosy (B92),B92  Sequelae of leprosy
8,B92,Sequelae of leprosy
9,B94.0,Sequelae of trachoma
10,B94.1,Sequelae of viral encephalitis
11,B94.2,Sequelae of viral hepatitis
12,B94.8,Sequelae of oth infectious and parasitic diseases
13,B94.9,Sequelae of unspecified infectious and parasitic disease
